RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
93,251919755,12540,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)Cl,Active,57,active agonist,active agonist,0.460903204,88.72339942,active antagonist,0.70298,-95.7195,Sigma Chemical Company
94,144211896,91778,CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,Active,57,active agonist,active agonist,0.83098224,97.7826717,active antagonist,0.385708,-62.6855,LightBiologicals
95,251919761,183559,C1=CC(=CC=C1C2=C(C(=C(N2)C(F)(F)F)Br)C#N)Cl,Active,57,active agonist,active agonist,1.267433188,110.1004679,active antagonist,0.635221,-58.5067,Sigma Chemical Company
96,144208903,9787,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Active,57,active agonist,active agonist,2.016920174,125.0238888,active antagonist,32.2613,-78.6253,SIGMA
97,170465997,3747,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,Active,57,active agonist,active agonist,3.34914596,138.8039376,inactive,,0,Sequoia
98,144210985,29732,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl,Active,57,active agonist,active agonist,3.437624287,137.1439772,active antagonist,68.5896,-47.6262,SIGMA
99,170465180,5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,Active,57,active agonist,active agonist,7.215516248,182.406098,active antagonist,4.73079,-62.995,"Prestwick Chemical, Inc."
100,144210147,7018,C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,Active,57,active agonist,active agonist,8.696427146,198.7631373,inactive,,0,SIGMA
101,144213825,86287525,CC1=C2C(=NN1)NC3=C(C=C(C=C3)[N+](=O)[O-])C(=N2)C4=CC=CC=C4Cl,Active,57,active agonist,active agonist,15.35530365,247.5648364,active antagonist,14.3716,-92.6336,Roche
102,170466473,65620,CC1=NC2=C(C=C1)C(=CC(=C2O)Br)Br,Active,57,active agonist,active agonist,16.15352875,261.7326585,inactive,,0,SIGMA
103,170466451,6063342,COC1=CC=C(C=C1)/C=C/C(=O)C2=C(C=C(C=C2)OC)OC,Active,57,active agonist,active agonist,29.84929478,396.9980685,inactive,,0,Enamine
104,170465669,2194,COC1=CC=C(C=C1)C2=CC(=S)SS2,Active,57,active agonist,active agonist,29.84929478,392.6772241,inactive,,0,Prestwick
105,144213522,26041,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2],Active,56,active agonist,active agonist,0.057303224,61.12319647,active antagonist,0.0735468,-92.9871,LightBiologicals
106,144211853,75444,CC[NH+]=C1C=CC(=C(C2=CC=C(C=C2)N(CC)CC)C3=CC=C(C=C3)N(CC)CC)C4=CC=CC=C14.[Cl-],Active,56,active agonist,active agonist,0.232774311,75.62955187,active antagonist,1.16664,-113.957,LightBiologicals
107,144212551,6857648,[C-]#N.[C-]#N.[K+].[Au+],Active,56,active agonist,active agonist,0.306378587,79.151803,active antagonist,1.5956,-100.407,LightBiologicals
108,144213707,16682834,CCCC[Sn](CCCC)(CCCC)OC(=O)C1=CC=CC=C1,Active,56,active agonist,active agonist,0.611305649,89.93089511,active antagonist,0.839793,-99.3062,SIGMA
109,144213339,5934,CC1=CC(=CC=C1)N=NC2=CC=C(C=C2)N(C)C,Active,56,active agonist,active agonist,1.535530365,104.0263749,inconclusive antagonist,43.9672,-46.3721,Sigma DiscoveryCPR
110,170466778,6252910,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=NN=C(N)N)/C=C/C2=CC=C(O2)[N+](=O)[O-],Active,56,active agonist,active agonist,1.678549199,109.4311423,active antagonist,3.22305,-109.621,Timtec
111,144207438,10474,[C-]#N.[C-]#N.[K+].[Ag+],Active,56,active agonist,active agonist,2.087333013,113.4316524,active antagonist,5.66142,-94.3973,SigmaAldrich
112,144210545,9865233,CC(C)(C1=NC2=NC=C(N2N=C1)C3=CC(=C(C=C3)F)C4=C(C=CC=C4F)C#N)O,Active,56,active agonist,active agonist,2.627796573,125.8727917,inconclusive antagonist,,,Pharma
113,144207147,656667,CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC.Cl,Active,56,active agonist,active agonist,4.216324956,140.8721375,inconclusive antagonist,29.8493,-57.9163,Toronto Research
114,144213674,6928,CCC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)CC)C(C)(C)C)O,Active,56,active agonist,active agonist,4.327712571,138.4694903,active antagonist,33.4328,-88.3773,TCI
115,144213499,9787,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Active,56,active agonist,active agonist,4.878609701,152.8447581,active antagonist,22.6445,-51.3189,LightBiologicals
116,170466057,3936,CN(C1=NC(=CC=C1)OC)C(=S)OC2=CC3=C(CCCC3)C=C2,Active,56,active agonist,active agonist,5.10819431,148.0936389,inactive,,0,Sequoia
117,144209505,24502,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],Active,56,active agonist,active agonist,7.618770508,172.2071706,active antagonist,8.91624,-59.0588,SIGMA
