RESULT_TAG,SID,CID,SMILES,Activity_Outcome,Activity_Score,Activity_Summary,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),Sample_Source
94,144209654,76013,CC(C)(C1=CC=CC=C1)C2=CC(=C(C=C2)O)C(C)(C)C3=CC=CC=C3,Active,50,active agonist,active agonist,6.057149238,34.5,inconclusive antagonist,27.0563,-100.175,SIGMA
95,144208784,40326,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,Active,60,active agonist,active agonist,6.069565669,70.0216024,inactive,,0,ChemService
96,144207266,7595,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,Active,52,active agonist,active agonist,6.137931578,43.86667863,inactive,,0,SIGMA
97,144207494,5273621,COC1=CC(=O)OC(=C1)/C=C/C2=CC=CC=C2,Active,61,active agonist,active agonist,6.325027588,74.62102277,inactive,,0,ChromaDex
98,144207488,5993,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Active,49,active agonist,active agonist,6.332838637,33.53192644,inactive,,0,SigmaAldrich
99,144210696,71245,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,Active,65,active agonist,active agonist,6.352213339,88.01019617,inactive,,0,Sigma DiscoveryCPR
100,251919835,623849,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,Active,46,active agonist,active agonist,6.352213339,21.60728234,inactive,,0,Sigma Chemical Company
101,144213789,107882,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.O.Cl.Cl,Active,58,active agonist,active agonist,6.436058351,63.17905263,inconclusive antagonist,21.5586,-69.8262,SIGMA
102,144209666,174223,CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N)S(=O)(=O)O,Active,55,active agonist,active agonist,6.498921239,55.26539493,inactive,,0,SigmaAldrich
103,144212634,14720269,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3[N-]2)OCCCOC.[Na+],Active,50,active agonist,active agonist,6.573885256,37.28941294,inactive,,0,AK Scientific
104,144211523,100524,CC1=CC(=C(C=C1)OP(=S)(NC(C)C)OC)[N+](=O)[O-],Active,61,active agonist,active agonist,6.60072656,75.4696699,inactive,,0,SIGMA
105,251919677,22830,COC1=CC(=C(C=C1)OC)N=NC2=C(C=CC3=CC=CC=C32)O,Active,58,active agonist,active agonist,6.60072656,65.41415519,active antagonist,26.278,-66.1858,Sigma Chemical Company
106,170466035,5282433,CCCCCOC1=CC=CC=C1/C(=C\SC)/N2C=CN=C2,Active,61,active agonist,active agonist,6.682424727,75.89829068,inactive,,0,GVK
